Unit Address,Property Name,WIFI Network and Password,Media Network and Password,Home Instructions,While You're There,Upon Departure,Important Things To Know,Check-In Time,Check-Out Time
"123 management, Agoura Hills, CA, 1111, US",Management Company,,,,,,,,
"3090 Shoshone Dr, Lake Havasu City, AZ, 86406, US",Shoshone,www.esvrm.com : Goodtimes,,"*Trash pick up is early Monday morning. *The WIFI is www.esvrm.com : Goodtimes *Any outdoor activity must cease from 10 pm to 7 am (this is a LHC ordinance, as well as a common courtesy to the neighbors). *Tuesday is pool service, Thursday is spa service. *Please follow pool and spa posted rules, this will ensure your group will stay safe and the pool and spa water will stay clean. *Any time children under 16 are in the rear yard they must be accompanied by an adult. *The pool and spa do NOT have a lifeguard on duty. *Glass containers are NOT allowed in the pool and spa area.","*Under no circumstances should the self-closing doors to the rear yard be modified, propped open, or disabled. These are designed to self-close as a safety measure. *Do not smoke inside the home, including all tobacco, vaping, and marijuana products. *Any outdoor activity must cease from 10 pm to 7 am (this is an LHC ordinance, as well as a common courtesy to the neighbors). *Keep all food and drink in the kitchen and dining areas. Remove your shoes when walking on carpeted areas in the home. *Help us conserve energy by keeping the exterior doors closed at all times and do not adjust the thermostat. The thermostat should stay set at 72˙ during the summer and 68˙ during the winter. Feel free to call us if there's a problem with the temperature. *Do not remove or rearrange the furniture. *Be warned that children of all ages can fall and get hurt on bunk beds. Read warning labels. *Only designated colored towels are to be used outside in the pool area. Do not use any white towels from the home at the pool. *The pool can be heated for an additional fee. Even if you have paid for pool heat, do not adjust the pool heat or temperature settings. Call management if you have questions. *Do not enter the pool equipment area. For people in good health, spa usage should not exceed 30 minutes. *Turn off the spa, and lights after use. *The pool and spa service is on Monday and Fridays. *Follow the pool and spa posted rules, this will ensure your group will stay safe and the pool and spa water will stay clean. *Any time children under 16 are in the rear yard they must be accompanied by an adult. *Glass containers are NOT allowed in the pool and spa area. *The pool and spa do NOT have a lifeguard on duty. *Complimentary Mineral Sunscreen: Certain sunscreens can significantly affect pool water, creating a chemical imbalance that causes the water to become cloudy. This often leads to skin and eye irritations for swimmers. Sunscreens with Zinc Oxide, in addition to being a great way to practice safe fun in the sun, have fewer added elements and are better for our pool water. As such, you will find a complimentary mineral sunscreen in your welcome basket at check in! We kindly ask that you use this sunscreen when going in the pool during your stay.","*Clean all dishes and put them away. Feel free to load the dishwasher with dirty dishes, but make sure to start the cycle before you leave. *You may leave your linens and towels where they are; *Housekeeping will take care of laundry. *Do not leave wet towels or linens in the washing machine *Leave the garage remote on the kitchen counter. *Turn off all lights, electronic equipment, and lock all the doors and windows. *Report any damages or problems to management upon departure.","*3090 Shoshone Dr., Lake Havasu City, AZ 86406 *CHECK-IN: 4 PM *CHECK-OUT: 10 AM *There is no landline telephone. *Trash day is early Monday morning *To enter the casitas, use the key hanging on the wall hook in the kitchen. *Illegal activity and substances are strictly prohibited and are grounds for immediate eviction. *Please DO NOT smoke inside the home; this includes all tobacco, vaping, and marijana products. Take it outside or you will be charged damages of up to $500. *This home is pet-friendly, with written approval and a paid fee. Guests are required to keep the pet(s) off all furniture and carpeted areas, be crated if left alone, and dispose of pet waste. *With written pre-approval and a $250 pet fee, up to 2 dogs only are permitted in the house. *The kitchen is stocked with mixing bowls, pots & pans, mixer, blender, griddle, Keurig and standard coffee maker, baking and cooking pantry staples. *We also provide standard household products; including bath soap, shampoo & conditioner, and facial tissue. *Bedding and towels are provided. *Interior fireplaces are for aesthetics only and are not operational",16:00,10:00
"347 Williams Way, Moab, UT, 84532, US",Cottonwoods 347,347 esvrm.com : goodtimes,,• CHECK-IN: 4 pm • CHECK-OUT: 11 am • POOL DOOR CODE: 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used for the spa or at the pool. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Please leave the front-loading washing machine door ajar when not in use to prevent mildew. 7. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 8. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature. 9. Please allow extra time for the hot water to travel to your bathroom. FIRE PIT - Wood is available for purchase at many fuel stations in town.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Return all television remotes back to where you found them. 7. Return the garage remote to the kitchen counter. 8. Turn off all lights and electronic equipment and lock all the doors and windows.","1 Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 2 Enjoy your vacation responsibly. Outdoor activity must cease from 10 PM to 7 AM (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your neighbors. 3 Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 4 This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) off all furniture and rugged areas, be crated if left unattended, and dispose of pet waste. 5 During your stay, you will be provided a garage remote. 6 There is no landline telephone. 7 Your door code will be the last four of your phone number. The side door entering into the garage is set to automatically lock.",16:00,11:00
"401 Williams Way, Moab, UT, 84532, US",Cottonwoods 401,401 esvrm.com : goodtimes,,• CHECK-IN: 4 pm • CHECK-OUT: 11 am • POOL DOOR CODE: 234 • WIFI - 401 esvrm.com > goodtimes • TRASH DAY - Early Thursday morning,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. Use provided rags, if needed. 2. Only colored pool towels are to be used for the spa or at the pool. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Please leave the front-loading washing machine door ajar when not in use to prevent mildew. 7. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 8. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature. 9. When showering, please run water for up to two minutes to get hot water. It takes a moment for the water to travel from the water heater in the laundry room on the opposite side of the house. 10. Please avoid parking in the adjoining twin home driveway. 11. Since the dishwasher makes a loud alert when it is done, it's best to run it a couple of hours before bedtime. BLUETOOTH STEREO - The stereo is located on the bookshelf and it can be connected via Bluetooth; Pioneer SX-10AE. SOFA SLEEPER - The queen mattress is an air mattress. Inflator control can be found in a small built-in pouch. There is an extension cord attached to plug into the wall. Run the inflator to your desired firmness. It does not automatically turn off, so please do not over inflate. SPA INSTRUCTIONS - Please see laminated spa instructions located in the primary bedroom. WHITE NOISE MACHINE - Located in primary bedroom nightstand. BAMBOO FLOOR - Please take care by removing your shoes while in the home. The bamboo wood is easily marked. CEILING FANS - Please use the remote to control the fan speed and dimmable light. The wall switch must be on to operate. PRINTER/SCANNER - Scan or print with a flash drive or connecting via USB port with the provided cable. FIRE PIT - Wood is available for purchase at many fuel stations in town. TOWNIE BICYCLES - Please follow bike usage instructions posted in the garage. Wear a helmet! Bike lock combos for both locks is 4231.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. The owners would also like to tell you thank you by letting you take one of the locally found heart-shaped rocks from the blue ceramic bowl. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings, including anything from the small fridge in the garage. 6. Dispose of all trash in the garbage can outside. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 4 pm 2. CHECK-OUT – 11 am 3. POOL DOOR CODE: 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Cottonwoods neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is not pet-friendly. If it is found that an animal has been inside the property, you will be charged damages of up to $500. 8. There is a landline telephone located in the kitchen for emergencies. 9. The indoor pool is open from 10 AM to 10 PM and is located at the corner of Williams Way and 500 W. The community pool is managed solely by the HOA. 10. During your stay, you will be provided a garage remote (garage keypad code is not shared). 11. ESVRM contractors may arrive unannounced during daylight hours to add necessary chemicals to the spa and/or for exterior pest control.",16:00,11:00
"417 N 600 W, Moab, UT, 84532, US",Entrada at Moab 417,417 esvrm.com : goodtimes,,* CHECK-IN : 4 pm * CHECK-OUT : 11 am * POOL GATE CODE : 234,"1.The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2.Only colored pool towels are to be used outside in the pool area. 3.Keep all food and drink in the kitchen and dining areas. 4.When putting food into the garbage disposal; bigger, harder items should be thrown away. 5.Please remove your shoes while in the home. 6.Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7.Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8.Please do not move things from one home to another, if you are staying in other Entradas. 9.The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10.The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11.Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1.CHECK-IN – 4 pm 2.CHECK-OUT – 11 am 3.POOL GATE CODE – 234 4.Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5.Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6.Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7.This home is not pet-friendly. If it is found that an animal has been inside the property, you will be charged damages of up to $500. 8.There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",16:00,11:00
"419 Williams Way, Moab, UT, 84532, US",Cottonwoods 419,419 esvrm.com > goodtimes,,"• CHECK-IN: 4 pm • CHECK-OUT: 11 am • TRASH DAY - Early Thursday morning • POOL DOOR CODE: 234 LIVING and PRIMARY BEDROOM ROOMS TV INSTRUCTIONS Cable TV: 1 Press the power button on either remote. 2 The top right corner button is the input selector. Choose HDMI 1 for cable television. Streaming: 1 Using the LG remote, press the home button. 2 Select your favorite streaming service. SPA USAGE 1 Unlock the padlock with code 1357. 2 Gently fold back one half of the cover. Use the arm to lift back the cover. 3 Press JETS to turn on the jets. 4 Press LIGHTS to turn on the lights. 5 To adjust the temperature, press OPTIONS. Press the top gray selection button on the left side of the screen for the Temperature. Use gray selection buttons on the right side of the screen to adjust the temperature. FIREPLACE: You are welcome to use the gas fireplace. Please switch on both the fireplace and fireplace fan. There will be a small delay before the fire ignites, once you switch the fireplace on. If you experience any issues, big or small, during your stay, please call, text, or email any one of our team members so we may resolve them as quickly as possible. Let us know if there's anything we can do for you during your stay. Empty Spaces, Vacation Rental Management 801.657.5828 reservations@esvrm.com www.esvrm.com","1 The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. Use provided rags, if needed. 2 Only pool towels are to be used for the spa or at the pool. 3 Keep all food and drink in the kitchen and dining areas. 4 Please remove your shoes while in the home. 5 When putting food into the garbage disposal, bigger, harder items should be thrown away. 6 You will find the high chair in the laundry room and the portable crib in the primary bedroom closet. 7 Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay set between 68 and 72 degrees. Feel free to call us if there's a problem with the temperature. 8 When showering, please run water for a full minute to get hot water. It takes a moment for the water to travel from the water heater in the laundry room on the opposite side of the house.","1 If there are any items in need of maintenance or attention, please let management know. 2 Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3 We love providing all the essentials, but please only the welcome items are to go home with you. 4 You may leave your linens and towels where they are; housekeeping will take care of laundry. 5 Remove all food and collect your personal belongings. 6 Return all television remotes back to where you found them. 7 Return the garage remote to the kitchen counter. 8 Turn off all lights and lock all the windows and doors.","• CHECK-IN: 4 pm • CHECK-OUT: 11 am • TRASH DAY - Early Thursday morning • POOL DOOR CODE: 234 1 Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 2 Enjoy your vacation responsibly. Outdoor activity must cease from 10 PM to 7 AM (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your neighbors. 3 Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 4 This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) off all furniture and rugged areas, be crated if left unattended, and dispose of pet waste. 5 During your stay, you will be provided a garage remote. 6 There is no landline telephone. 7 Your door code will be the last four of your phone number. The side door entering into the garage is set to automatically lock.",16:00,11:00
"42 Earhart Lane, Crested Butte, CO, 81224, US",Earhart Crested Butte,whetstone : lostcreek,,"- Trash pick up is early Tuesdays - Any outdoor activity must cease from 10 pm to 7 am (including idling MX, ATV, UTVs, etc.); this is a Gunnison County ordinance, as well as common courtesy for your neighbors. - The hot tub hours are from 9 am to 10 pm. - Any time children under 16 are in the rear yard and deck area they must be accompanied by an adult. - The hot tub does NOT have a lifeguard on duty. - From November to March, 4-wheel or all-wheel drive with all-season tires is recommended. - All vehicles, trailers, motorcycles, RVs, off-road vehicles shall be kept IN THE DRIVEWAY and NOT left on the roads or in the cul-de-sac at any time. The HOA will fine you if you park on the streets.","- All vehicles, trailers, motorcycles, RVs, off-road vehicles shall be kept IN THE DRIVEWAY and NOT left on the roads or in the cul-de-sac at any time. The HOA will fine you if you park on the streets. - There is a creek that runs at the far end of the backyard (not our property). Please stay away from the creek. The creek can be deep, swift, and dangerous. - Keep the garage door down at all times. - Please do not enter/exit the exterior door near the garages. - All recreational equipment such as skis, snowboards, bicycles, etc. are not allowed in the home and should be stored in the garage; with the exception of ski/snowboard boots which may be stored in the laundry room. - Do not smoke inside the home, including all tobacco, vaping, and marijuana products. - Any outdoor activity must cease from 10 pm to 7 am (including idling MX, ATV, UTVs, etc.); this is a Gunnison County ordinance, as well as common courtesy for your neighbors. - Keep all food and drink in the kitchen and dining areas. - Please remove your shoes when walking on carpeted areas in the home. All shoes and/or boots with snow, water, mud, etc. should be stored off the hardwood floors, in the laundry room area only. - Please help us conserve energy by keeping the exterior doors closed at all times during the winter and do not adjust the thermostat. The thermostat should stay set at 72 during the winter. Summer, there is no AC. If needed, open the windows to help cool the home. Feel free to call us if there's a problem with the temperature. - Do not remove or rearrange the furniture. Please be warned that children of all ages can fall and get hurt on bunk beds. Read warning labels. - Only designated colored towels are to be used outside in the hot tub area. Do not use any white towels from the home at the hot tub. - For people in good health, hot tub usage should not exceed 30 minutes. Turn off the hot tub, and lights after use. - The hot tub service is on Fridays. - Please follow the hot tub posted rules, this will ensure your group will stay safe and spa water will stay clean. - The hot tub hours are from 9 am to 10 pm. - The hot tub heat and jets should only be turned on right before use and turned off immediately after.","- Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. - Do not leave towels or linens in the washing machine. - Remove all food and personal items and dispose of all trash in toters or bins in the garage. - Leave the garage remote on the kitchen counter and replace the key in the lockbox. - Turn off all lights, electronic equipment, and lock all the doors and windows. - Report any damages or problems to management upon departure.","42 Earhart Lane, Crested Butte, 81224 - CHECK-IN: 4 PM - CHECK-OUT: 10 AM -Trash day is early Tuesday morning (recycling pickup is every other Tuesday). Please take the toter(s) & recyclables to the end of the driveway. DO NOT leave any trash outside overnight, it will attract animals. - Illegal activity and substances are strictly prohibited and are grounds for immediate eviction. - From November to March, 4-wheel or all-wheel drive with all-season tires is recommended. - This is an animal conscientious property. With written pre-approval and a two hundred and fifty dollars ($250) animal fee, up to two dogs only are permitted in the rental home. The Renter(s)/Tenant(s) are/is required to keep the dog(s) off all furniture and carpeted/rugged areas, be crated if left alone in the home, and remove feces from the property. Failure to do so may result in additional charges. If it is found that an animal has been inside the property without written pre-approval, the Renter(s)/Tenant(s) will forfeit their security deposit and may be charged damages of up to five hundred dollars ($500). We respect service animals. - The kitchen is stocked with mixing bowls, pots & pans, a mixer, blender, griddle, Keurig and standard coffee maker, baking, and cooking pantry staples. - We also provide standard household products; including bath soap, shampoo & conditioner, and facial tissue.",16:00,10:00
"420 and 424 and 428 N 650 W, Moab, UT, 84532, US",Entrada at Moab 420 and 424 and 428,420/424/428 esvrm.com: goodtimes,,* CHECK-IN – 3 pm * CHECK-OUT – 10 am * POOL GATE CODE – 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature. 12. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas.",15:00,10:00
"420 and 424 N 650 W, Moab, UT, 84532, US",Entrada at Moab 420 and 424,420/424 esvrm.com : goodtimes,,* CHECK-IN – 3 pm * CHECK-OUT – 10 am * POOL GATE CODE – 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"420 N 650 W, Moab, UT, 84532, US",Entrada at Moab 420,420 esvrm.com : goodtimes,,* CHECK-IN : 3 pm * CHECK-OUT : 10 am * POOL GATE CODE : 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
